game_id,date,team_1,team_2,game_number,team_winner,patch_version
181,23-Oct-2024,geek,fnoc,2,geek,1.9.20
182,23-Oct-2024,fnoc,geek,3,geek,1.9.20
183,23-Oct-2024,fnoc,geek,4,fnoc,1.9.20
184,23-Oct-2024,fnoc,geek,5,geek,1.9.20
185,24-Oct-2024,tlid,btr,1,tlid,1.9.20
186,24-Oct-2024,btr,tlid,2,tlid,1.9.20
187,24-Oct-2024,tlid,btr,3,btr,1.9.20
188,24-Oct-2024,tlid,btr,4,btr,1.9.20
189,24-Oct-2024,btr,tlid,5,tlid,1.9.20
190,24-Oct-2024,rrq,geek,1,rrq,1.9.20
191,24-Oct-2024,geek,rrq,2,geek,1.9.20
192,24-Oct-2024,rrq,geek,3,rrq,1.9.20
193,24-Oct-2024,rrq,geek,4,rrq,1.9.20
194,25-Oct-2024,btr,geek,1,btr,1.9.20
195,25-Oct-2024,geek,btr,2,btr,1.9.20
196,25-Oct-2024,geek,btr,3,btr,1.9.20
197,25-Oct-2024,rrq,tlid,1,tlid,1.9.20
198,25-Oct-2024,rrq,tlid,2,tlid,1.9.20
199,25-Oct-2024,rrq,tlid,3,rrq,1.9.20
200,25-Oct-2024,tlid,rrq,4,rrq,1.9.20
201,25-Oct-2024,tlid,rrq,5,rrq,1.9.20
202,26-Oct-2024,tlid,btr,1,tlid,1.9.20
203,26-Oct-2024,btr,tlid,2,tlid,1.9.20
204,26-Oct-2024,tlid,btr,3,tlid,1.9.20
205,27-Oct-2024,tlid,rrq,1,tlid,1.9.20
206,27-Oct-2024,rrq,tlid,2,rrq,1.9.20
207,27-Oct-2024,tlid,rrq,3,rrq,1.9.20
208,27-Oct-2024,tlid,rrq,4,tlid,1.9.20
209,27-Oct-2024,rrq,tlid,5,rrq,1.9.20
210,27-Oct-2024,tlid,rrq,6,tlid,1.9.20
211,27-Oct-2024,rrq,tlid,7,tlid,1.9.20
