game_id,date,team_1,team_2,game_number,team_winner,patch_version,season,step_1,step_2,step_3,step_4,step_5,step_6,step_7,step_8,step_9,step_10,step_11,step_12,step_13,step_14,step_15,step_16,step_17,step_18,step_19,step_20
38,23-Aug-2024,fnoc,geek,1,geek,1.9.06,14,helcurt,fanny,harith,arlott,chip,zhuxin,ling,roger,valentina,vexana,hylos,chou,tigreal,ruby,khufra,jawhead,natalia,bruno,terizla,moskov
39,23-Aug-2024,geek,fnoc,2,fnoc,1.9.06,14,fanny,chip,hayabusa,helcurt,zhuxin,natalia,ling,roger,harith,edith,valentina,ruby,claude,zhask,tigreal,luo yi,aurora,kaja,lunox,arlott
40,23-Aug-2024,fnoc,geek,3,geek,1.9.06,14,helcurt,fanny,natalia,arlott,harith,chip,ling,roger,ruby,edith,valentina,zhask,claude,saber,terizla,mathilda,moskov,grock,clint,thamuz
41,23-Aug-2024,dewa,rbl,1,dewa,1.9.06,14,julian,chip,zhuxin,ling,zhask,roger,valentina,hayabusa,moskov,fanny,edith,khufra,harith,barats,grock,luo yi,ruby,jawhead,claude,nana
42,23-Aug-2024,rbl,dewa,2,dewa,1.9.06,14,fanny,chip,ling,zhask,ruby,hayabusa,zhuxin,moskov,edith,roger,arlott,aurora,julian,jawhead,nolan,chou,mathilda,joy,kaja,x.borg
43,24-Aug-2024,geek,btr,1,geek,1.9.06,14,fanny,chip,ruby,helcurt,valentina,ling,roger,harith,hayabusa,zhask,edith,arlott,kaja,luo yi,tigreal,mathilda,jawhead,lunox,terizla,aurora
44,24-Aug-2024,btr,geek,2,btr,1.9.06,14,helcurt,fanny,roger,chip,valentina,harith,ling,zhask,ruby,jawhead,faramis,moskov,bruno,arlott,karrie,tigreal,nolan,beatrix,edith,thamuz
45,24-Aug-2024,geek,btr,3,geek,1.9.06,14,fanny,chip,ruby,helcurt,valentina,ling,roger,hayabusa,harith,lunox,edith,jawhead,kaja,luo yi,tigreal,vexana,zhask,terizla,faramis,barats
46,24-Aug-2024,evos,ae,1,evos,1.9.06,14,hayabusa,chip,fanny,ling,ruby,zhuxin,zhask,roger,edith,hylos,moskov,aurora,alpha,cici,bane,harith,nolan,julian,jawhead,chou
47,24-Aug-2024,ae,evos,2,ae,1.9.06,14,hylos,chip,ruby,ling,moskov,zhuxin,roger,valentina,edith,aurora,jawhead,harith,terizla,julian,fanny,tigreal,mathilda,hayabusa,phoveus,bane
48,24-Aug-2024,evos,ae,3,evos,1.9.06,14,hayabusa,chip,fanny,ling,ruby,hylos,zhuxin,roger,jawhead,moskov,terizla,faramis,mathilda,julian,tigreal,nolan,harith,bane,akai,edith
49,24-Aug-2024,dewa,tlid,1,tlid,1.9.06,14,zhuxin,chip,fanny,valentina,zhask,edith,ling,harith,hylos,aurora,ruby,nolan,jawhead,vexana,chou,faramis,phoveus,roger,terizla,yve
50,24-Aug-2024,dewa,tlid,2,tlid,1.9.06,14,zhuxin,chip,zhask,valentina,fanny,hylos,ling,edith,harith,aurora,jawhead,nolan,terizla,phoveus,moskov,tigreal,faramis,arlott,roger,chou
51,25-Aug-2024,rbl,ae,1,ae,1.9.06,14,fanny,chip,hayabusa,ling,zhuxin,ruby,zhask,hylos,roger,moskov,edith,aurora,cici,harith,x.borg,natan,nolan,joy,grock,chou
52,25-Aug-2024,rbl,ae,2,rbl,1.9.06,14,fanny,chip,hayabusa,ling,hylos,zhuxin,zhask,ruby,roger,edith,moskov,aurora,minotaur,nolan,tigreal,harith,chou,jawhead,julian,claude
53,25-Aug-2024,ae,rbl,3,ae,1.9.06,14,ruby,ling,zhask,chip,zhuxin,hayabusa,hylos,jawhead,moskov,luo yi,nolan,valentina,chou,x.borg,kaja,cici,terizla,tigreal,roger,julian
54,25-Aug-2024,tlid,rrq,1,rrq,1.9.06,14,ruby,chip,roger,fanny,edith,ling,zhask,hylos,harith,terizla,nolan,arlott,mathilda,aurora,moskov,hayabusa,zhuxin,karrie,jawhead,lancelot
55,25-Aug-2024,tlid,rrq,2,rrq,1.9.06,14,ruby,chip,roger,fanny,harith,ling,zhask,hylos,aurora,moskov,edith,natan,mathilda,alpha,chou,arlott,nolan,joy,terizla,barats
56,25-Aug-2024,btr,evos,1,evos,1.9.06,14,zhuxin,chip,zhask,ling,hylos,ruby,valentina,jawhead,julian,moskov,fanny,vexana,tigreal,roger,terizla,arlott,phoveus,edith,grock,brody
