1,8,7,5,106,16,27,25,123,125
1,8,1,1,88,16,97,125,40,123
1,1,8,2,16,88,105,125,54,123
1,8,1,3,88,16,40,125,97,123
1,8,7,1,110,25,105,16,101,125
1,7,8,2,16,123,25,125,34,97
1,8,7,3,110,16,105,125,101,25
1,8,7,4,105,16,27,25,123,100
1,7,8,5,16,123,25,125,34,101
1,8,7,6,27,16,123,34,10,125
1,7,8,7,16,123,34,125,97,124
